id,title,company,description,salary_text,contact_text,post_url
18,Sales Associate,UrbanMart,"Retail sales. Training free. Freshers welcome.",12000/month,jobs@urbanmart.in,
19,Home Based Job,EasyEarn,"Earn 70,000 monthly. Pay activation fee.",,easyearn@gmail.com,
20,Mobile App Developer,Appster,"Flutter developer. 1–3 yrs exp.",45000–75000,dev@appster.com,

21,Content Writer,WriteRight,"Write blogs and articles. No payments.",20000/month,editor@writeright.com,
22,Back Office Job,SpeedHire,"Form filling job. Pay 999 to receive login credentials.",,speedhire@yahoo.com,
23,Marketing Manager,BrandX,"Handle marketing strategies. 3+ years exp.",40000–80000,marketing@brandx.in,
24,Electrician,PowerFix,"Field work. Must have prior experience.",20000/month,jobs@powerfix.in,
25,Graphics Designer,PixelHive,"Photoshop/Illustrator skills required.",30000–50000,design@pixelhive.com,
26,Whatsapp Job Opportunity,EasyMoney,"Earn ₹2,000 daily. Pay ₹500 one-time fee.",,easymoneyjobs@gmail.com,
27,Cloud Engineer,CloudCore,"AWS experience required.",60000–120000,cloudcore@jobs.com,
28,Office Assistant,CityCorp,"Paperwork and admin tasks. No fee.",15000/month,office@citycorp.in,
29,Repackaging Job,RePack India,"Simple repackaging. No charges.",10000/month,jobs@repack.in,
30,Digital Marketing Executive,PromoGen,"SEO/SEM required.",25000–50000,marketing@promogen.in,

31,Quick Earning Job,SuperCash,"Earn 1 lakh monthly. Investment required 2000.",,supercashjobs@gmail.com,
32,Teacher,MoonLight School,"Teach students 1–5 std.",20000/month,school@moonlight.edu,
33,Recruitment Officer,HRHub,"Screen candidates. No fees.",25000/month,hr@hrhub.in,
34,Backend Developer,SoftRealm,"Python + MySQL experience required.",40000–70000,jobs@softrealm.com,
35,Night Shift Job,CallMax,"Voice process. No hiring charges.",18000/month,careers@callmax.in,
36,Home Based Copy Paste Job,EasyTask,"Earn ₹50,000 weekly. Pay verification fee ₹999.",,easytasknow@gmail.com,
37,Data Scientist,InsightX,"Machine learning experience required.",60000–120000,careers@insightx.ai,
38,Receptionist,CityClinic,"Front desk job. No charges.",15000/month,reception@cityclinic.in,
39,Online Promotion Job,AdBoost,"Earn 30,000 daily. Pay 1500 to activate.",,adboost123@gmail.com,
40,Senior Accountant,LedgerPro,"Tally + GST required. 3+ years exp.",40000–60000,accounts@ledgerpro.in,

41,Shop Helper,MartLine,"Counter support job. No charges.",12000/month,jobs@martline.in,
42,Data Entry Job,MegaTyping,"Daily ₹5000 income. Pay software fee 999.",,megatyper@gmail.com,
43,Chef Assistant,FoodHouse,"Kitchen work. No charges.",20000/month,team@foodhouse.in,
44,Machine Operator,ProMach,"Factory machine operation exp required.",25000/month,jobs@promach.in,
45,Research Intern,AI Labs,"ML/NLP intern. Stipend 8000.",8000/month,intern@ailabs.org,
46,Instagram Promotion Job,SocialBoost,"Earn 10,000 daily. Pay activation amount.",,socialboostjobs@gmail.com,
47,Warehouse Executive,StoreHub,"Packing and dispatch.",18000/month,hr@storehub.in,
48,Office Boy,TaskServe,"Office cleaning & basic help.",12000/month,apply@taskserve.in,
49,Call & Earn Job,FastPay,"Earn ₹60,000 weekly. Pay 1299 for login.",,fastpaywork@gmail.com,
50,Web Developer,CodeCraft,"HTML/CSS/JS required. Apply via email.",30000–60000,dev@codecraft.in,

51,SEO Intern,ClickBoost,"Assist SEO team. No charges.",8000/month,intern@clickboost.in,
52,Data Entry Job,UltraTypers,"Earn ₹40,000 weekly. Pay registration ₹499 first.",,ultratypers@gmail.com,
53,Operations Manager,CityWorks,"Handle daily operations. 5+ years exp.",50000–80000,ops@cityworks.in,
54,Telecaller,BetaComm,"Inbound calls. No fees.",16000/month,careers@betacomm.in,
55,Copywriter,WordHero,"Creative writing role.",25000–45000,hr@wordhero.in,
56,Work from Mobile,QuickEarn,"Earn ₹30,000/day. Activation fee 1500 mandatory.",,quickearnjobs@gmail.com,
57,HR Recruiter,TeamForce,"Hiring management. No charges.",25000/month,hr@teamforce.in,
58,Mechanical Engineer,SteelPro,"Mechanical exp required.",35000–60000,jobs@steelpro.in,
59,Instagram Job,LikeFlow,"Earn ₹50,000 weekly by liking posts. Pay 999 to join.",,likeflowteam@gmail.com,
60,UI/UX Designer,Creativa,"Create app designs. Experience needed.",40000–80000,design@creativa.in,

61,Field Sales Officer,Door2Door,"Sales field job.",20000/month,sales@door2door.in,
62,Survey Participant,SurveyPlus,"Earn ₹5000 daily. Pay ₹799 software fee.",,surveyplusjobs@gmail.com,
63,System Admin,NetServe,"Linux experience required.",45000–70000,admin@netserve.in,
64,Receptionist,BrightClinic,"Clinic front desk job.",18000/month,career@brightclinic.in,
65,Store Manager,SmartRetail,"Retails store management.",30000–50000,jobs@smartretail.in,
66,Data Entry Typing Job,QuickType,"Earn ₹60,000/month. Pay fee ₹999.",,quicktypework@gmail.com,
67,Creative Writer,InkRoom,"Article writing. No fees.",20000/month,editor@inkroom.in,
68,Digital Campaign Manager,AdXpress,"Manage campaigns. Experience required.",35000–60000,marketing@adxpress.in,
69,Pay & Work Job,MoneyBoost,"Earn unlimited. Pay ₹699 registration.",,moneyboostjobs@gmail.com,
70,Backend Java Developer,LogiTech,"Java/Spring exp.",50000–90000,jobs@logitech.in,

71,Office Clerk,Klassic Pvt Ltd,"Clerical tasks. No payments.",13000/month,office@klassic.in,
72,Online Earning Job,FastEarn,"Earn ₹1 lakh monthly. Pay activation ₹1999.",,fastearnjobs@gmail.com,
73,Full Stack Developer,DevSphere,"React + Django.",50000–90000,hr@devsphere.in,
74,Supervisor,FinBroker,"Manage daily activities.",25000/month,jobs@finbroker.in,
75,Data Cleaner,DataPro,"Clean and prepare datasets.",22000/month,team@datapro.in,
76,Form Filling Job,FormPro,"Earn 45k weekly. Buy software for 1500.",,formprojobs@gmail.com,
77,Content Strategist,InkPlus,"Content planning.",30000–50000,hr@inkplus.in,
78,Machine Helper,ToolTech,"Factory helper job.",16000/month,hr@tooltech.in,
79,Social Media Job,TrendBoost,"Earn 20k/day. Pay ₹999.",,trendboostjobs@gmail.com,
80,PHP Developer,WebNest,"Laravel + MySQL required.",40000–80000,dev@webnest.in,

81,Cleaner,PrimeServices,"Cleaning job. No charges.",12000/month,jobs@primeservices.in,
82,Data Entry Online Job,TypePro,"Earn ₹50k weekly. Pay ₹499.",,typeprohire@gmail.com,
83,Assistant Manager,SafeBank,"Bank office work.",35000–60000,career@safebank.in,
84,CCTV Technician,Securify,"CCTV installation exp.",20000/month,hr@securify.in,
85,Finance Analyst,FinGenius,"Excel + finance knowledge.",45000–90000,careers@fingenius.com,
86,Telegram Job,QuickMoney,"Earn 40k/day. Activation cost ₹799.",,quickmoney@gmail.com,
87,Reception Staff,HealthPoint,"Front office.",15000/month,hr@healthpoint.in,
88,QC Inspector,BuildRight,"Quality check job.",30000/month,jobs@buildright.in,
89,Promotion Work,GrowthHub,"Earn 30k/day. Pay ₹1500.",,growthhubjobs@gmail.com,
90,Android Developer,CodeSpark,"Android + Kotlin required.",40000–80000,dev@codespark.in,

91,Housekeeping,Sunshine Services,"Cleaning job. No fee.",12000/month,jobs@sunshine.in,
92,Data Entry Typing,SmartJobs,"Earn 60k weekly. Pay software ₹799.",,smartjobsteam@gmail.com,
93,Business Analyst,MarketPro,"Analytics + reports.",40000–70000,hr@marketpro.in,
94,Campus Coordinator,Edutech,"Manage events & students.",25000/month,jobs@edutech.in,
95,Junior Accountant,CrediPro,"Tally knowledge.",20000–30000,accounts@credipro.in,
96,Online Job,PayNow,"Earn ₹50k daily. Pay 999 to activate.",,paynowteam@gmail.com,
97,Trainer,SkillEdge,"Conduct training sessions.",35000/month,train@skilledge.in,
98,Packing Job,PackFast,"Warehouse packing.",15000/month,jobs@packfast.in,
99,Like Comment Job,SocialCash,"Earn unlimited. Pay 499.",,socialcashjobs@gmail.com,
100,NodeJS Developer,TechEdge,"Node + Express.",50000–90000,dev@techedge.in,
i want to make his text into csv give me the code
